* 통계표명 :,지가변동률_연도별,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,1975년 ~ 2021년,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,1975년 ~ 2021년,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2022.10.31 04:05:16,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
전국,,,0.67,1.32,8.98,3.43,3.86,4.986,5.617,3.886,-0.319,0.955,1.046,1.166,0.956,1.135,1.964,2.402,2.7,3.879,4.584,3.915,3.678,4.173
수도권,,,-,-,-,-,-,-,-,-,-,-,-,-,0.681,1.044,1.909,2.193,2.532,3.822,5.14,4.74,4.357,4.783
지방,,,-,-,-,-,-,-,-,-,-,-,-,-,1.474,1.303,2.064,2.774,2.993,3.97,3.649,2.508,2.517,3.169
대도시,,,-,-,-,-,-,-,-,-,-,-,-,-,0.728,1.245,2.424,2.769,3.021,4.373,5.483,4.714,4.452,4.842
시지역,,,-,-,-,-,-,-,-,-,-,-,-,-,1.187,1.043,1.543,2.085,2.441,3.448,3.824,3.24,3.036,3.645
군지역,,,-,-,-,-,-,-,-,-,-,-,-,-,1.109,0.948,1.434,1.931,2.138,3.228,3.215,2.564,2.218,2.634
서울,,,0.05,1.89,15.81,5.23,4.09,6.564,9.171,5.882,-1.001,1.396,0.527,0.966,0.378,1.206,2.662,2.688,2.974,4.315,6.114,5.287,4.803,5.313
,종로구,,-0.52,1.78,16.64,4.35,4.14,5.519,8.879,5.835,-1.245,0.755,0.497,0.844,0.287,1.201,2.41,1.903,2.199,3.284,5.811,4.457,4.316,5.006
,중구,,-0.5,2.21,15.26,4.63,4.07,5.654,8.732,5.804,-0.716,0.587,0.456,0.96,0.335,0.604,2.563,1.806,2.227,3.244,5.327,4.763,4.551,4.882
,용산구,,0.44,1.88,15.64,5.05,7.6,10.236,11.722,11.734,0.822,2.11,0.815,0.896,0.505,-2.113,1.491,1.501,3.133,5.225,8.598,5.86,4.854,5.507
,성동구,,-0.29,1.57,17.52,4.38,4.94,9.014,10.961,10.505,1.31,1.938,0.702,1.013,0.307,0.277,1.848,2.218,2.916,5.221,7.377,5.882,5.129,6.173
,광진구,,0.19,1.55,15.26,5.33,3.58,5.481,9.139,6.289,-0.576,1.336,0.799,0.957,0.211,0.454,1.822,2.551,3.182,4.343,5.679,5.324,4.398,5.037
,동대문구,,-0.71,1.71,13.65,5.09,3.79,7.355,8.734,6.237,-0.242,1,0.406,0.96,0.367,0.54,1.361,2.254,2.574,3.995,6.241,5.327,4.394,5.237
,중랑구,,-0.51,1.4,13.31,3.75,3.86,5.592,8.387,4.885,-0.401,1.032,0.728,0.817,0.247,0.458,1.867,2.531,2.742,3.73,4.504,4.239,3.878,4.339
,성북구,,-0.03,1.55,15.1,3.83,3.06,6.607,9.624,6.137,-0.958,1.089,0.677,0.816,-0.106,0.182,1.425,2.191,2.398,3.124,5.723,4.97,4.479,4.777
,강북구,,-0.05,1.73,10.9,3.21,3.65,5.945,8.676,5.257,-0.527,1.104,0.725,0.76,0.329,0.476,1.886,1.986,2.395,3.697,5.131,4.462,3.786,4.181
,도봉구,,-0.32,1.79,9.99,3.97,3.36,4.203,6.462,4.044,-0.315,1.179,0.283,0.702,0.263,0.216,1.66,2.191,2.609,3.416,4.387,3.827,3.258,4.114
,노원구,,-0.09,2.2,10.99,4.23,3.45,4.517,8.259,4.715,-0.218,1.266,0.485,0.716,0.32,0.357,1.427,2.468,2.885,4.35,4.638,4.361,4.092,4.234
,은평구,,0.35,1.91,14.97,3.46,4.94,7.714,9.214,4.995,-0.336,0.575,0.528,0.815,-0.094,0.779,2.515,2.082,2.266,3.315,5.407,4.589,4.412,4.8
,서대문구,,-0.3,1.95,13.71,3.82,4.4,7.415,9.042,5.559,-0.2,0.963,0.599,0.835,0.221,0.537,2.175,2.566,2.647,3.447,5.354,4.675,4.415,4.699
,마포구,,-0.2,3.49,11.47,4.5,4.28,7.208,9.638,5.726,-0.233,1.036,0.642,0.867,0.239,0.962,2.838,3.312,3.677,5.322,8.112,5.402,4.792,5.318
