지 역,,,1975년,1976년,1977년,1978년,1979년,1980년,1981년,1982년,1983년,1984년,1985년,1986년,1987년,1988년,1989년,1990년,1991년,1992년,1993년,1994년,1995년,1996년,1997년,1998년,1999년,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
전국,,,26.99,26.6,33.55,48.98,16.63,11.68,7.51,5.4,18.5,13.2,7,7.3,14.67,27.47,31.97,20.58,12.78,-1.27,-7.38,-0.57,0.55,0.95,0.31,-13.6,2.94,0.67,1.32,8.98,3.43,3.86,4.986,5.617,3.886,-0.319,0.955,1.046,1.166,0.956,1.135,1.964,2.402,2.7,3.879,4.584,3.915,3.678,4.173
수도권,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.681,1.044,1.909,2.193,2.532,3.822,5.14,4.74,4.357,4.783
지방,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.474,1.303,2.064,2.774,2.993,3.97,3.649,2.508,2.517,3.169
대도시,,,21.87,21.04,46.67,79.08,21.96,17.02,7.11,5.6,31.7,21.6,7.8,6.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.728,1.245,2.424,2.769,3.021,4.373,5.483,4.714,4.452,4.842
시지역,,,25.84,28.62,34.65,58.78,14.49,15.56,7.92,5.7,24.1,15.8,7.1,7.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.187,1.043,1.543,2.085,2.441,3.448,3.824,3.24,3.036,3.645
군지역,,,25.92,24.43,25.72,29.69,12.46,8.19,7.12,5,13.4,10.9,6.9,7.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.109,0.948,1.434,1.931,2.138,3.228,3.215,2.564,2.218,2.634
서울,,,31.63,16.06,31.7,135.7,6.4,13.42,3.56,8.7,57.7,23.3,8.1,3.7,6.29,28.06,33.54,31.18,11.15,-2.78,-8.72,-1.36,0.18,0.94,0.29,-16.25,2.66,0.05,1.89,15.81,5.23,4.09,6.564,9.171,5.882,-1.001,1.396,0.527,0.966,0.378,1.206,2.662,2.688,2.974,4.315,6.114,5.287,4.803,5.313
,종로구,,-,-,-,-,-,11.77,3.61,8.8,65.1,20.9,11.2,3.4,6.87,14.8,27.35,29.41,6.06,-2.63,-5.85,-0.46,0.16,1.08,0.76,-17.15,3,-0.52,1.78,16.64,4.35,4.14,5.519,8.879,5.835,-1.245,0.755,0.497,0.844,0.287,1.201,2.41,1.903,2.199,3.284,5.811,4.457,4.316,5.006
,중구,,-,-,-,-,-,13.29,5.99,9.3,53.5,17.1,15.5,4,6.61,21.56,26.29,22.77,2.08,-2.25,-6.75,0.02,0.93,1.47,1.01,-17.64,2.98,-0.5,2.21,15.26,4.63,4.07,5.654,8.732,5.804,-0.716,0.587,0.456,0.96,0.335,0.604,2.563,1.806,2.227,3.244,5.327,4.763,4.551,4.882
,용산구,,-,-,-,-,-,12.18,0.61,6.9,51,24.6,8.6,3,3.81,17.15,27.37,28.01,6.85,-3.02,-7.33,-0.09,3.13,1.49,0.67,-15.85,2.58,0.44,1.88,15.64,5.05,7.6,10.236,11.722,11.734,0.822,2.11,0.815,0.896,0.505,-2.113,1.491,1.501,3.133,5.225,8.598,5.86,4.854,5.507
,성동구,,-,-,-,-,-,14.88,1.75,7.5,48,23.4,7.6,4.2,4.93,27.87,32.59,36.96,14.01,-1.03,-9.67,-1.34,2.14,1.27,0.1,-15.73,1.82,-0.29,1.57,17.52,4.38,4.94,9.014,10.961,10.505,1.31,1.938,0.702,1.013,0.307,0.277,1.848,2.218,2.916,5.221,7.377,5.882,5.129,6.173
,광진구,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.88,0.86,0.1,-16.9,1.98,0.19,1.55,15.26,5.33,3.58,5.481,9.139,6.289,-0.576,1.336,0.799,0.957,0.211,0.454,1.822,2.551,3.182,4.343,5.679,5.324,4.398,5.037
,동대문구,,-,-,-,-,-,12.96,0.85,4.7,49.3,24.6,8.1,3,4.21,28.47,28.63,24.13,10.82,-3.67,-7.84,-1.1,0.12,0.95,0.69,-15.36,2.19,-0.71,1.71,13.65,5.09,3.79,7.355,8.734,6.237,-0.242,1,0.406,0.96,0.367,0.54,1.361,2.254,2.574,3.995,6.241,5.327,4.394,5.237
,중랑구,,-,-,-,-,-,-,-,-,-,-,-,-,-,31.74,35.11,21.92,10.31,-0.35,-7.41,-0.17,1.12,0.43,0.5,-16.21,1.92,-0.51,1.4,13.31,3.75,3.86,5.592,8.387,4.885,-0.401,1.032,0.728,0.817,0.247,0.458,1.867,2.531,2.742,3.73,4.504,4.239,3.878,4.339
,성북구,,-,-,-,-,-,7.1,0,7.2,61.5,23.4,7.9,3,4.33,27.1,24.65,27.58,10.4,0.15,-4.59,-0.04,1.01,1.13,1.05,-16.11,2.94,-0.03,1.55,15.1,3.83,3.06,6.607,9.624,6.137,-0.958,1.089,0.677,0.816,-0.106,0.182,1.425,2.191,2.398,3.124,5.723,4.97,4.479,4.777
